Bait	Preys	PreyGene	MIST	BFDR	AvgSpec	FoldChange	Abundance
SARS-CoV2 Nsp1	Q14181	POLA2	0.943678488	0.03	4	40	0.000786709
SARS-CoV2 Nsp1	Q8NBJ5	COLGALT1	0.794123974	0	7.33	73.33	0.001457908
SARS-CoV2 Nsp1	Q99959	PKP2	0.964585351	0	43	430	0.006085025
SARS-CoV2 Nsp10	O94973	AP2A2	0.99112813	0	5.67	56.67	0.001019399
SARS-CoV2 Nsp10	P55789	GFER	0.965372815	0	4.67	46.67	0.003849873
SARS-CoV2 Nsp10	Q969X5	ERGIC1	0.912239515	0	14.67	146.67	0.00856241
SARS-CoV2 Nsp10	Q96CW1	AP2M1	0.982905884	0	3	30	0.00116193
SARS-CoV2 Nsp10	Q9HAV7	GRPEL1	0.986587081	0	2.67	26.67	0.002083605
SARS-CoV2 Nsp11	O75347	TBCA	0.768344701	0.01	2.67	14.67	0.002292658
SARS-CoV2 Nsp12	A3KN83	SBNO1	0.969888009	0	15	150	0.001605551
SARS-CoV2 Nsp12	O14874	BCKDK	0.98581764	0	8.33	83.33	0.002969714
SARS-CoV2 Nsp12	O43823	AKAP8	0.717059992	0.05	2.67	26.67	0.000590972
SARS-CoV2 Nsp12	O75592	MYCBP2	0.987452704	0	6.33	63.33	0.000191813
SARS-CoV2 Nsp12	O95391	SLU7	0.989493635	0	14.33	143.33	0.003570509
SARS-CoV2 Nsp12	Q13546	RIPK1	0.9818645	0	8	80	0.001758862
SARS-CoV2 Nsp12	Q14157	UBAP2L	0.791211852	0	15.33	153.33	0.002053664
SARS-CoV2 Nsp12	Q2T9J0	TYSND1	0.993449369	0	11.33	113.33	0.002890669
SARS-CoV2 Nsp12	Q5EBL8	PDZD11	0.961171536	0.05	2	20	0.002118415
SARS-CoV2 Nsp12	Q5JSZ5	PRRC2B	0.843969576	0	9	33	0.000587785
SARS-CoV2 Nsp12	Q5T6F2	UBAP2	0.89261208	0	9.33	93.33	0.001219303
SARS-CoV2 Nsp12	Q5VUA4	ZNF318	0.993695111	0	9.67	96.67	0.00061157
SARS-CoV2 Nsp12	Q6UUV7	CRTC3	0.991104307	0	7.67	76.67	0.001801404
SARS-CoV2 Nsp12	Q70EL1	USP54	0.980964951	0	4.33	43.33	0.000374327
SARS-CoV2 Nsp12	Q8IWR0	ZC3H7A	0.980817495	0	36	360	0.005476688
SARS-CoV2 Nsp12	Q92615	LARP4B	0.983254345	0	8	80	0.001588555
SARS-CoV2 Nsp12	Q96IZ5	RBM41	0.96685652	0.05	2	20	0.000710703
SARS-CoV2 Nsp12	Q99081	TCF12	0.992827377	0.01	2	20	0.000424632
SARS-CoV2 Nsp12	Q9H2H8	PPIL3	0.986726338	0	5	50	0.004385816
SARS-CoV2 Nsp12	Q9HAU0	PLEKHA5	0.990541089	0	17.33	173.33	0.002243773
SARS-CoV2 Nsp13	A7MCY6	TBKBP1	0.985289524	0	6.33	63.33	0.000873947
SARS-CoV2 Nsp13	O14578	CIT	0.887314876	0	6	60	0.000258161
SARS-CoV2 Nsp13	O75506	HSBP1	0.851502614	0	4.33	43.33	0.004929486
SARS-CoV2 Nsp13	O95613	PCNT	0.971855938	0	181	1810	0.004573291
SARS-CoV2 Nsp13	O95684	CEP43	0.981570359	0.05	2	20	0.000399215
SARS-CoV2 Nsp13	P13861	PRKAR2A	0.897857211	0	20	200	0.00420983
SARS-CoV2 Nsp13	P17612	PRKACA	0.880321174	0	5.33	53.33	0.001335212
SARS-CoV2 Nsp13	P31323	PRKAR2B	0.983191506	0	6.67	66.67	0.001365617
SARS-CoV2 Nsp13	P35241	RDX	0.912028315	0	7	70	0.000960225
SARS-CoV2 Nsp13	P49454	CENPF	0.873840643	0	20	200	0.000485118
SARS-CoV2 Nsp13	Q04724	TLE1	0.96917283	0	4.33	43.33	0.000494383
SARS-CoV2 Nsp13	Q04726	TLE3	0.933626993	0	18	180	0.001968696
SARS-CoV2 Nsp13	Q08117	TLE5	0.962431031	0.04	2.33	23.33	0.001008486
SARS-CoV2 Nsp13	Q08378	GOLGA3	0.928738823	0	85	850	0.00473963
SARS-CoV2 Nsp13	Q08379	GOLGA2	0.952311087	0	77.33	773.33	0.006527482
SARS-CoV2 Nsp13	Q14789	GOLGB1	0.985604541	0	90	900	0.002366272
SARS-CoV2 Nsp13	Q4V328	GRIPAP1	0.989815969	0	31	310	0.003117841
SARS-CoV2 Nsp13	Q5VT06	CEP350	0.86755993	0	5.67	56.67	0.000149554
SARS-CoV2 Nsp13	Q5VU43	PDE4DIP	0.979124391	0	23.67	236.67	0.000864246
SARS-CoV2 Nsp13	Q66GS9	CEP135	0.975292134	0	6.33	63.33	0.000474585
SARS-CoV2 Nsp13	Q76N32	CEP68	0.879704216	0.03	3	30	0.000333211
SARS-CoV2 Nsp13	Q7Z7A1	CNTRL	0.989917408	0	5	50	0.000175932
SARS-CoV2 Nsp13	Q8IUD2	ERC1	0.990718127	0	24	240	0.00181899
SARS-CoV2 Nsp13	Q8IWJ2	GCC2	0.987387119	0	4.67	46.67	0.000233001
SARS-CoV2 Nsp13	Q8N3C7	CLIP4	0.966944672	0	3.67	36.67	0.000448876
SARS-CoV2 Nsp13	Q8N4C6	NIN	0.991583194	0	69	690	0.002777383
SARS-CoV2 Nsp13	Q8N8E3	CEP112	0.964318835	0.05	2.33	23.33	0.000197998
SARS-CoV2 Nsp13	Q8TD10	MIPOL1	0.98176996	0	18	180	0.003493143
SARS-CoV2 Nsp13	Q92995	USP13	0.987514452	0	10.33	103.33	0.001021149
SARS-CoV2 Nsp13	Q96CN9	GCC1	0.873361571	0	9.67	96.67	0.00106981
SARS-CoV2 Nsp13	Q96N16	JAKMIP1	0.987966991	0	14.67	146.67	0.001983539
SARS-CoV2 Nsp13	Q96SN8	CDK5RAP2	0.939307247	0	62.67	626.67	0.002774239
SARS-CoV2 Nsp13	Q99996	AKAP9	0.990813809	0	109	1090	0.002355536
SARS-CoV2 Nsp13	Q9BQQ3	GORASP1	0.986870312	0	5.33	53.33	0.001035288
SARS-CoV2 Nsp13	Q9BQS8	FYCO1	0.733173301	0.05	2	20	0.000116657
SARS-CoV2 Nsp13	Q9BV19	C1orf50	0.932056845	0	4	40	0.001697189
SARS-CoV2 Nsp13	Q9BV73	CEP250	0.990717833	0	151	1510	0.005231767
SARS-CoV2 Nsp13	Q9UHD2	TBK1	0.993970596	0	7	70	0.000797617
SARS-CoV2 Nsp13	Q9UJC3	HOOK1	0.994048081	0	24	240	0.002730921
SARS-CoV2 Nsp13	Q9Y2I6	NINL	0.987790569	0	45.33	453.33	0.002783228
SARS-CoV2 Nsp14	P06280	GLA	0.841137578	0	25.67	256.67	0.009096561
SARS-CoV2 Nsp14	P12268	IMPDH2	0.989667608	0	18.33	183.33	0.00537273
SARS-CoV2 Nsp14	Q9NXA8	SIRT5	0.99363281	0	11.67	116.67	0.005680075
SARS-CoV2 Nsp15	P61970	NUTF2	0.987886	0	2.33	23.33	0.002438419
SARS-CoV2 Nsp15	P62330	ARF6	0.988131492	0	7	70	0.005263337
SARS-CoV2 Nsp15	Q9H4P4	RNF41	0.993560817	0	21.33	213.33	0.008862298
SARS-CoV2 Nsp2	O14975	SLC27A2	0.915803486	0	4.67	46.67	0.000685514
SARS-CoV2 Nsp2	O60573	EIF4E2	0.806833749	0	10.33	103.33	0.003817987
SARS-CoV2 Nsp2	P16435	POR	0.710961769	0	3.33	33.33	0.000447205
SARS-CoV2 Nsp2	P52306	RAP1GDS1	0.991635744	0	12	120	0.00180173
SARS-CoV2 Nsp2	Q2M389	WASHC4	0.972115182	0	3.67	36.67	0.00028933
SARS-CoV2 Nsp2	Q5T1M5	FKBP15	0.988056696	0	19.67	196.67	0.001473304
SARS-CoV2 Nsp2	Q6Y7W6	GIGYF2	0.767224555	0	40.33	403.33	0.002786226
SARS-CoV2 Nsp4	P14735	IDE	0.918031442	0	11.33	113.33	0.000974435
SARS-CoV2 Nsp4	P62072	TIMM10	0.961471982	0	5.33	53.33	0.005221573
SARS-CoV2 Nsp4	Q2TAA5	ALG11	0.72745605	0	7	70	0.001245352
SARS-CoV2 Nsp4	Q8TEM1	NUP210	0.710174697	0	6.33	63.33	0.000295842
SARS-CoV2 Nsp4	Q9BSF4	TIMM29	0.986980311	0	7.67	76.67	0.002598016
SARS-CoV2 Nsp4	Q9NVH1	DNAJC11	0.726866873	0	11.33	113.33	0.001777733
SARS-CoV2 Nsp4	Q9Y5J6	TIMM10B	0.985104055	0	3	30	0.00254824
SARS-CoV2 Nsp4	Q9Y5J7	TIMM9	0.913806284	0	4	40	0.003954007
SARS-CoV2 Nsp5	Q92769	HDAC2	0.993708403	0.01	2	20	0.000629803
SARS-CoV2 Nsp5_C145A	P07203	GPX1	0.97684084	0	15.67	156.67	0.017336732
SARS-CoV2 Nsp5_C145A	Q9NXH9	TRMT1	0.984315505	0	7.67	76.67	0.00257108
SARS-CoV2 Nsp6	O75964	ATP5MG	0.717265558	0	6.67	66.67	0.005464738
SARS-CoV2 Nsp6	Q15904	ATP6AP1	0.989106922	0	5	50	0.000906989
SARS-CoV2 Nsp6	Q99720	SIGMAR1	0.842213253	0	5	50	0.001873343
SARS-CoV2 Nsp6	Q9H7F0	ATP13A3	0.805525853	0	5.67	56.67	0.000389227
SARS-CoV2 Nsp7	O00116	AGPS	0.826490325	0	7.67	76.67	0.001243175
SARS-CoV2 Nsp7	O43169	CYB5B	0.80351019	0	3.33	33.33	0.002326761
SARS-CoV2 Nsp7	O95573	ACSL3	0.897068932	0	4.33	43.33	0.000647443
SARS-CoV2 Nsp7	P00387	CYB5R3	0.956349351	0	7.33	73.33	0.002644292
SARS-CoV2 Nsp7	P11233	RALA	0.750366485	0	2.33	23.33	0.001262855
SARS-CoV2 Nsp7	P21964	COMT	0.745231765	0.04	2	20	0.000728892
SARS-CoV2 Nsp7	P51148	RAB5C	0.87908593	0	8	80	0.004024585
SARS-CoV2 Nsp7	P51149	RAB7A	0.972724229	0	10.67	106.67	0.005481036
SARS-CoV2 Nsp7	P61006	RAB8A	0.895744596	0.05	2.33	23.33	0.001156545
SARS-CoV2 Nsp7	P61019	RAB2A	0.97919572	0.05	2	20	0.000976207
SARS-CoV2 Nsp7	P61026	RAB10	0.981443071	0	3	30	0.001634684
SARS-CoV2 Nsp7	P61106	RAB14	0.750712826	0	6.67	66.67	0.003246643
SARS-CoV2 Nsp7	P61586	RHOA	0.829029399	0.05	2	20	0.001072311
SARS-CoV2 Nsp7	P62820	RAB1A	0.935289593	0	4	40	0.002019083
SARS-CoV2 Nsp7	P62873	GNB1	0.839532136	0	2.67	26.67	0.000832855
SARS-CoV2 Nsp7	P63218	GNG5	0.817631566	0.05	2	20	0.003348517
SARS-CoV2 Nsp7	Q12907	LMAN2	0.725773983	0	7	70	0.002081036
SARS-CoV2 Nsp7	Q13724	MOGS	0.782330987	0	27.67	276.67	0.00351299
SARS-CoV2 Nsp7	Q5JTV8	TOR1AIP1	0.74516805	0.05	2	20	0.000374396
SARS-CoV2 Nsp7	Q5VT66	MTARC1	0.939721024	0	6.33	63.33	0.002089701
SARS-CoV2 Nsp7	Q6ZRP7	QSOX2	0.794325146	0.03	4.33	43.33	0.000627336
SARS-CoV2 Nsp7	Q7LGA3	HS2ST1	0.706466834	0	5	50	0.001526177
SARS-CoV2 Nsp7	Q8N183	NDUFAF2	0.981444858	0	3	30	0.001934537
SARS-CoV2 Nsp7	Q8NBX0	SCCPDH	0.978675119	0	2.33	23.33	0.000606406
SARS-CoV2 Nsp7	Q8WTV0	SCARB1	0.854406247	0.03	2.67	26.67	0.000533493
SARS-CoV2 Nsp7	Q8WUY8	NAT14	0.720285746	0	4.33	43.33	0.002221738
SARS-CoV2 Nsp7	Q8WVC6	DCAKD	0.862452335	0	9	90	0.004278553
SARS-CoV2 Nsp7	Q96A26	FAM162A	0.748773582	0	11	110	0.007835187
SARS-CoV2 Nsp7	Q96DA6	DNAJC19	0.981450126	0	3	30	0.002818421
SARS-CoV2 Nsp7	Q9BQE4	SELENOS	0.701764404	0	3.33	33.33	0.001951386
SARS-CoV2 Nsp7	Q9H7Z7	PTGES2	0.764538331	0	6	60	0.001624369
SARS-CoV2 Nsp7	Q9NP72	RAB18	0.756605088	0.05	2	20	0.001004641
SARS-CoV2 Nsp8	O00566	MPHOSPH10	0.728559172	0.03	2.67	26.67	0.000248961
SARS-CoV2 Nsp8	O76094	SRP72	0.739540656	0	33.67	336.67	0.003193728
SARS-CoV2 Nsp8	O95260	ATE1	0.804292637	0	8.33	83.33	0.001023162
SARS-CoV2 Nsp8	O96028	NSD2	0.864651959	0.05	2	20	9.09E-05
SARS-CoV2 Nsp8	P09132	SRP19	0.832502372	0	12	120	0.005284099
SARS-CoV2 Nsp8	P61011	SRP54	0.755584148	0	4	40	0.000509806
SARS-CoV2 Nsp8	P82663	MRPS25	0.826437119	0	4.67	46.67	0.001701885
SARS-CoV2 Nsp8	Q13206	DDX10	0.755753594	0	5.67	56.67	0.000412161
SARS-CoV2 Nsp8	Q4G0J3	LARP7	0.812479682	0	12.67	126.67	0.001378613
SARS-CoV2 Nsp8	Q7L2J0	MEPCE	0.790978117	0	10.33	103.33	0.000951499
SARS-CoV2 Nsp8	Q8NEJ9	NGDN	0.71407894	0	3.67	36.67	0.000736458
SARS-CoV2 Nsp8	Q96B26	EXOSC8	0.990898225	0	3.67	36.67	0.000845752
SARS-CoV2 Nsp8	Q96I59	NARS2	0.78185035	0	5.33	53.33	0.000709789
SARS-CoV2 Nsp8	Q9BSC4	NOL10	0.807819511	0	8.33	83.33	0.00076669
SARS-CoV2 Nsp8	Q9H6F5	CCDC86	0.736803661	0	4.33	43.33	0.000759004
SARS-CoV2 Nsp8	Q9HD40	SEPSECS	0.809559247	0	4.33	43.33	0.000551523
SARS-CoV2 Nsp8	Q9NQT4	EXOSC5	0.704291901	0	3.67	36.67	0.000981816
SARS-CoV2 Nsp8	Q9NQT5	EXOSC3	0.774797319	0	6.33	63.33	0.001462121
SARS-CoV2 Nsp8	Q9NY61	AATF	0.783703681	0	11.67	116.67	0.001020357
SARS-CoV2 Nsp8	Q9ULT8	HECTD1	0.885504785	0	5.33	53.33	0.000130202
SARS-CoV2 Nsp8	Q9Y399	MRPS2	0.972057569	0.05	2	20	0.000424273
SARS-CoV2 Nsp8	P82675	MRPS5	0.63637328	0.04	2.33	23.33	0.000346312
SARS-CoV2 Nsp8	Q13868	EXOSC2	0.672587659	0	5.67	56.67	0.001230224
SARS-CoV2 Nsp8	Q92552	MRPS27	0.602806863	0	3.33	33.33	0.000510074
SARS-CoV2 Nsp9	P13984	GTF2F2	0.877426938	0	14	140	0.006563016
SARS-CoV2 Nsp9	P35555	FBN1	0.992372395	0	15.33	153.33	0.00062483
SARS-CoV2 Nsp9	P35556	FBN2	0.991012329	0	83	830	0.003336075
SARS-CoV2 Nsp9	P35658	NUP214	0.962233264	0	8.33	83.33	0.000488605
SARS-CoV2 Nsp9	P37198	NUP62	0.993010451	0	18	180	0.004029321
SARS-CoV2 Nsp9	P61962	DCAF7	0.969234024	0	16	160	0.00555022
SARS-CoV2 Nsp9	Q15056	EIF4H	0.86901939	0	6	60	0.00295909
SARS-CoV2 Nsp9	Q7Z3B4	NUP54	0.991624822	0	21.33	213.33	0.004946329
SARS-CoV2 Nsp9	Q86YT6	MIB1	0.89782233	0	15	150	0.001769399
SARS-CoV2 Nsp9	Q8N0X7	SPART	0.962964129	0	13.67	136.67	0.002491318
SARS-CoV2 Nsp9	Q8TD19	NEK9	0.991972865	0	39	390	0.004655843
SARS-CoV2 Nsp9	Q96F45	ZNF503	0.777581447	0	34	93.5	0.006133247
SARS-CoV2 Nsp9	Q99567	NUP88	0.92724312	0	3.67	36.67	0.000576008
SARS-CoV2 Nsp9	Q9BVL2	NUP58	0.979586223	0	12	120	0.002368247
SARS-CoV2 Nsp9	Q9NZL9	MAT2B	0.978282655	0	4.33	43.33	0.001531914
SARS-CoV2 Nsp9	Q9UBX5	FBLN5	0.992002193	0.01	2	20	0.000524128
SARS-CoV2 Orf10	P50897	PPT1	0.777920681	0	6	60	0.002008956
SARS-CoV2 Orf10	Q13617	CUL2	0.818290141	0	12.33	123.33	0.001768534
SARS-CoV2 Orf10	Q3KQU3	MAP7D1	0.814143575	0	7.67	76.67	0.000946032
SARS-CoV2 Orf10	Q9BU02	THTPA	0.927363101	0	2.67	26.67	0.001245907
SARS-CoV2 Orf10	Q9C0D3	ZYG11B	0.85402934	0	27	270	0.003815079
SARS-CoV2 Orf10	Q9Y5J9	TIMM8B	0.752997484	0	2.33	23.33	0.003009082
SARS-CoV2 Orf10	P62877	RBX1	0.63921796	0.05	2	20	0.001927108
SARS-CoV2 Orf10	Q15369	ELOC	0.618948613	0	7.33	73.33	0.006975403
SARS-CoV2 Orf10	Q15370	ELOB	0.655233005	0	4	40	0.003554301
SARS-CoV2 Orf3a	P09601	HMOX1	0.993596312	0	12.33	123.33	0.003886476
SARS-CoV2 Orf3a	Q8IWR1	TRIM59	0.979280399	0	3.67	36.67	0.000819925
SARS-CoV2 Orf3a	Q8N6S5	ARL6IP6	0.865135022	0	4.67	46.67	0.001880231
SARS-CoV2 Orf3a	Q96JC1	VPS39	0.878755935	0	13.33	133.33	0.001120496
SARS-CoV2 Orf3a	Q96S66	CLCC1	0.920620901	0	20.33	203.33	0.003372958
SARS-CoV2 Orf3a	Q9H270	VPS11	0.967855711	0	4.33	43.33	0.000410456
SARS-CoV2 Orf3a	Q9UH99	SUN2	0.880019941	0	11	110	0.001127493
SARS-CoV2 Orf3a	Q9Y673	ALG5	0.860324884	0	8	80	0.002242305
SARS-CoV2 Orf3b	Q9UJZ1	STOML2	0.929039041	0	8	80	0.002737095
SARS-CoV2 Orf6	P52948	NUP98	0.903566335	0	8	80	0.000624368
SARS-CoV2 Orf6	P78406	RAE1	0.963218346	0	20.33	203.33	0.007968787
SARS-CoV2 Orf6	Q9NZJ7	MTCH1	0.851173737	0.05	2	20	0.000843385
SARS-CoV2 Orf7a	Q7Z4Q2	HEATR3	0.789988379	0	3.67	36.67	0.000562993
SARS-CoV2 Orf7a	Q9NU22	MDN1	0.981108579	0	7.67	76.67	0.000140966
SARS-CoV2 Orf8	O00469	PLOD2	0.992483418	0	13.67	136.67	0.001504203
SARS-CoV2 Orf8	O14656	TOR1A	0.879789245	0.04	2	20	0.000463326
SARS-CoV2 Orf8	O76061	STC2	0.979920785	0	4.67	46.67	0.001263331
SARS-CoV2 Orf8	P00750	PLAT	0.973718932	0.05	2	20	0.000283934
SARS-CoV2 Orf8	P05556	ITGB1	0.817711683	0.04	2.33	23.33	0.00023017
SARS-CoV2 Orf8	P0C7P0	CISD3	0.760326153	0	4	40	0.002512925
SARS-CoV2 Orf8	P12109	COL6A1	0.977300006	0.05	2	20	0.00015243
SARS-CoV2 Orf8	P15151	PVR	0.991893926	0	4	40	0.000764868
SARS-CoV2 Orf8	P26358	DNMT1	0.795844505	0	8	80	0.000394622
SARS-CoV2 Orf8	P28300	LOX	0.985331119	0	2.67	26.67	0.000525377
SARS-CoV2 Orf8	P29122	PCSK6	0.721790867	0	3.67	36.67	0.000301115
SARS-CoV2 Orf8	P58166	INHBE	0.993645979	0	6	60	0.001374864
SARS-CoV2 Orf8	P61916	NPC2	0.978204196	0	3.67	36.67	0.001952615
SARS-CoV2 Orf8	Q08431	MFGE8	0.743312102	0	2.67	26.67	0.000566104
SARS-CoV2 Orf8	Q13438	OS9	0.931530938	0	3.33	33.33	0.00040964
SARS-CoV2 Orf8	Q15818	NPTX1	0.984056824	0	2.67	26.67	0.000488068
SARS-CoV2 Orf8	Q6UW63	POGLUT2	0.95793072	0.03	3	30	0.000462687
SARS-CoV2 Orf8	Q7Z4H8	POGLUT3	0.932470503	0	4.33	43.33	0.000698928
SARS-CoV2 Orf8	Q86YB8	ERO1B	0.991893438	0	4	40	0.000682976
SARS-CoV2 Orf8	Q8IV08	PLD3	0.722502016	0	3	30	0.000496691
SARS-CoV2 Orf8	Q8IWF2	FOXRED2	0.977300463	0.05	2	20	0.00022909
SARS-CoV2 Orf8	Q8IZ52	CHPF	0.989068101	0	5.67	56.67	0.000585849
SARS-CoV2 Orf8	Q8N0Z8	PUSL1	0.72751463	0	3	30	0.000794379
SARS-CoV2 Orf8	Q8N766	EMC1	0.723777507	0	3	30	0.000245094
SARS-CoV2 Orf8	Q92820	GGH	0.877155555	0	4	40	0.001012023
SARS-CoV2 Orf8	Q96DZ1	ERLEC1	0.732723909	0	11	110	0.001847199
SARS-CoV2 Orf8	Q96F46	IL17RA	0.80084048	0	2.33	23.33	0.000215415
SARS-CoV2 Orf8	Q96IV0	NGLY1	0.993220351	0	3.67	36.67	0.00045054
SARS-CoV2 Orf8	Q96MM7	HS6ST2	0.806104461	0.05	2.33	23.33	0.000317211
SARS-CoV2 Orf8	Q99470	SDF2	0.826107348	0	4.67	46.67	0.001887159
SARS-CoV2 Orf8	Q99519	NEU1	0.991561179	0	4.33	43.33	0.000846947
SARS-CoV2 Orf8	Q99988	GDF15	0.985884183	0	5	50	0.00128962
SARS-CoV2 Orf8	Q9BRN9	TM2D3	0.966748836	0.03	2.67	26.67	0.000841993
SARS-CoV2 Orf8	Q9BS26	ERP44	0.706328526	0	15.67	156.67	0.003110356
SARS-CoV2 Orf8	Q9BZQ6	EDEM3	0.81834398	0	3	30	0.000264013
SARS-CoV2 Orf8	Q9H173	SIL1	0.967517561	0	5	50	0.000885296
SARS-CoV2 Orf8	Q9H488	POFUT1	0.879682645	0.03	3	30	0.000591226
SARS-CoV2 Orf8	Q9H4F8	SMOC1	0.972857922	0.04	2.33	23.33	0.000423216
SARS-CoV2 Orf8	Q9H8W4	PLEKHF2	0.98324168	0	2.33	23.33	0.000771501
SARS-CoV2 Orf8	Q9NXK8	FBXL12	0.824465649	0	4.67	46.67	0.001153286
SARS-CoV2 Orf8	Q9NYU1	UGGT2	0.844600144	0.03	3	30	0.00015675
SARS-CoV2 Orf8	Q9P2E5	CHPF2	0.703620586	0	5	50	0.000528903
SARS-CoV2 Orf8	Q9UHI8	ADAMTS1	0.96066367	0.05	2	20	0.000173534
SARS-CoV2 Orf8	Q9Y4L1	HYOU1	0.77235306	0	23.33	233.33	0.001897461
SARS-CoV2 Orf8	Q9Y680	FKBP7	0.988134523	0	7.33	73.33	0.002691637
SARS-CoV2 Orf8	Q13443	ADAM9	0.669574426	0.05	2	20	0.000201385
SARS-CoV2 Orf8	Q96AY3	FKBP10	0.660192254	0	13.33	133.33	0.001853515
SARS-CoV2 Orf9b	O14745	SLC9A3R1	0.993764827	0	5	50	0.001587065
SARS-CoV2 Orf9b	O43633	CHMP2A	0.948289085	0.05	2.33	23.33	0.001222162
